true_pos,obs_pos,true_var
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,83,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,67,22
84,82,22
84,82,22
84,82,22
84,82,22
84,82,22
84,82,22
84,82,22
84,82,22
84,82,22
84,82,22
84,82,22
84,56,22
84,56,22
84,56,22
84,56,22
84,56,22
84,56,22
84,56,22
84,56,22
84,56,22
84,56,22
84,56,22
84,56,22
84,56,22
84,56,22
84,56,22
84,56,22
84,56,22
84,56,22
84,128,22
84,128,22
84,128,22
84,128,22
84,128,22
84,128,22
84,128,22
84,128,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,106,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,79,22
84,127,22
84,127,22
84,127,22
84,127,22
84,127,22
84,127,22
84,127,22
84,127,22
84,127,22
84,64,22
84,64,22
84,64,22
84,64,22
84,64,22
84,64,22
84,64,22
84,64,22
84,64,22
84,64,22
84,64,22
84,64,22
84,64,22
84,64,22
84,50,22
84,50,22
84,50,22
84,50,22
84,50,22
84,50,22
84,50,22
84,50,22
84,50,22
84,50,22
84,50,22
84,50,22
84,50,22
84,93,22
84,93,22
84,93,22
84,93,22
84,93,22
84,93,22
84,93,22
84,93,22
84,93,22
84,93,22
84,93,22
84,93,22
84,93,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,86,22
84,60,22
84,60,22
84,60,22
84,60,22
84,60,22
84,60,22
84,60,22
84,60,22
84,60,22
84,60,22
84,60,22
84,60,22
84,60,22
84,60,22
84,60,22
84,60,22
84,63,22
84,63,22
84,63,22
84,63,22
84,63,22
84,63,22
84,63,22
84,63,22
84,63,22
84,63,22
84,63,22
84,63,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,68,22
59,38,22
59,38,22
59,38,22
59,38,22
59,38,22
59,38,22
59,38,22
59,38,22
59,38,22
59,38,22
59,38,22
59,38,22
59,38,22
59,38,22
59,38,22
59,38,22
59,38,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,31,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,6,22
59,52,22
59,52,22
59,52,22
59,52,22
59,52,22
59,52,22
59,52,22
59,52,22
59,52,22
59,52,22
59,52,22
59,52,22
59,52,22
59,67,22
59,67,22
59,67,22
59,67,22
59,67,22
59,67,22
59,67,22
59,67,22
59,67,22
59,67,22
59,67,22
59,67,22
59,67,22
59,67,22
59,67,22
59,67,22
59,67,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,14,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,62,22
59,94,22
59,94,22
59,94,22
59,94,22
59,94,22
59,94,22
59,94,22
59,94,22
59,94,22
59,94,22
59,94,22
59,94,22
59,94,22
59,94,22
59,94,22
59,20,22
59,20,22
59,20,22
59,20,22
59,20,22
59,20,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,71,22
59,45,22
59,45,22
59,45,22
59,45,22
59,45,22
59,45,22
59,45,22
59,45,22
59,45,22
59,45,22
59,45,22
59,45,22
59,45,22
59,45,22
59,45,22
59,45,22
59,45,22
59,45,22
59,66,22
59,66,22
59,66,22
59,66,22
59,66,22
59,66,22
59,66,22
59,66,22
59,66,22
59,35,22
59,35,22
59,35,22
59,35,22
59,35,22
59,35,22
59,69,22
59,69,22
59,69,22
59,69,22
59,69,22
59,69,22
59,69,22
59,69,22
59,69,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,95,22
59,51,22
59,51,22
59,51,22
59,51,22
59,51,22
59,51,22
59,51,22
59,51,22
