true_pos,obs_pos,true_var
217,206,22
214,206,22
212,206,22
212,206,22
210,206,22
211,206,22
212,206,22
211,206,22
211,206,22
210,218,22
209,218,22
208,218,22
206,218,22
206,218,22
209,218,22
210,218,22
205,218,22
203,218,22
201,218,22
197,218,22
195,218,22
194,218,22
194,218,22
194,218,22
194,218,22
193,218,22
193,218,22
195,218,22
194,218,22
198,234,22
193,234,22
190,234,22
190,234,22
191,234,22
188,234,22
186,234,22
190,234,22
190,234,22
190,234,22
191,234,22
188,234,22
189,234,22
192,234,22
191,234,22
191,234,22
190,234,22
195,234,22
199,234,22
199,234,22
197,234,22
196,234,22
195,234,22
195,234,22
190,234,22
191,234,22
188,234,22
188,234,22
188,234,22
188,234,22
189,234,22
191,234,22
194,234,22
194,234,22
195,234,22
199,234,22
200,234,22
199,234,22
199,234,22
199,234,22
203,234,22
204,234,22
203,234,22
204,234,22
206,234,22
206,234,22
207,234,22
207,234,22
207,234,22
211,241,22
212,241,22
213,241,22
213,241,22
212,241,22
207,241,22
206,241,22
206,241,22
202,241,22
202,241,22
200,241,22
201,241,22
202,241,22
200,241,22
201,241,22
201,241,22
208,241,22
205,241,22
208,241,22
210,241,22
212,241,22
213,241,22
214,241,22
213,241,22
210,241,22
211,241,22
211,241,22
212,241,22
215,241,22
213,241,22
211,241,22
212,241,22
210,241,22
209,241,22
211,209,22
208,209,22
207,209,22
204,209,22
204,209,22
207,209,22
207,209,22
206,237,22
207,237,22
210,237,22
208,237,22
205,237,22
201,237,22
199,237,22
197,237,22
197,237,22
197,237,22
196,237,22
197,237,22
199,237,22
196,178,22
199,178,22
201,178,22
197,178,22
194,178,22
192,178,22
195,178,22
194,178,22
194,178,22
196,178,22
194,178,22
193,225,22
194,225,22
192,225,22
194,225,22
193,225,22
195,225,22
195,225,22
198,225,22
197,225,22
196,225,22
196,225,22
195,225,22
198,225,22
196,225,22
196,156,22
195,156,22
193,156,22
193,156,22
192,156,22
191,156,22
191,156,22
189,156,22
192,156,22
196,156,22
195,156,22
192,156,22
193,156,22
192,156,22
195,156,22
195,156,22
194,156,22
193,156,22
192,156,22
192,156,22
190,156,22
191,156,22
191,156,22
191,156,22
187,156,22
186,156,22
187,156,22
185,156,22
186,156,22
189,156,22
187,156,22
188,156,22
187,156,22
188,156,22
189,156,22
193,156,22
192,156,22
193,156,22
191,156,22
187,156,22
186,156,22
185,156,22
187,156,22
186,156,22
185,170,22
185,170,22
181,170,22
181,170,22
175,170,22
176,170,22
176,170,22
177,170,22
176,170,22
174,170,22
172,170,22
168,171,22
169,171,22
169,171,22
168,171,22
165,171,22
167,171,22
171,171,22
171,171,22
171,171,22
176,171,22
176,170,22
178,170,22
176,170,22
179,170,22
179,170,22
182,170,22
184,170,22
184,170,22
186,170,22
186,170,22
187,170,22
187,170,22
190,170,22
190,170,22
189,170,22
192,170,22
194,170,22
194,170,22
193,170,22
193,170,22
191,170,22
193,170,22
191,170,22
188,170,22
186,170,22
189,170,22
191,170,22
192,170,22
193,170,22
192,170,22
187,170,22
188,170,22
186,170,22
189,170,22
186,170,22
182,170,22
183,170,22
183,170,22
186,170,22
188,170,22
185,170,22
184,170,22
187,170,22
185,170,22
184,170,22
186,170,22
186,170,22
188,170,22
187,170,22
188,170,22
189,197,22
190,197,22
192,197,22
193,197,22
193,197,22
194,197,22
194,197,22
193,197,22
194,197,22
193,197,22
194,197,22
194,197,22
196,197,22
196,197,22
198,197,22
198,197,22
195,197,22
195,197,22
195,197,22
191,197,22
193,197,22
196,197,22
194,197,22
191,197,22
191,197,22
189,197,22
186,197,22
187,205,22
190,205,22
191,205,22
193,205,22
194,205,22
197,205,22
195,205,22
197,205,22
196,205,22
196,205,22
197,205,22
197,205,22
199,205,22
197,205,22
194,205,22
195,205,22
194,205,22
192,205,22
188,205,22
189,205,22
191,205,22
191,205,22
192,205,22
195,206,22
193,206,22
192,206,22
195,206,22
194,206,22
197,206,22
199,206,22
199,206,22
199,206,22
200,206,22
203,206,22
203,206,22
205,206,22
205,206,22
204,206,22
207,206,22
207,206,22
205,206,22
207,206,22
206,206,22
207,206,22
207,206,22
208,206,22
210,206,22
211,206,22
212,206,22
211,206,22
210,206,22
206,206,22
206,203,22
204,203,22
204,203,22
202,203,22
201,203,22
200,203,22
203,203,22
205,203,22
202,203,22
205,203,22
202,203,22
202,203,22
201,203,22
202,197,22
201,197,22
204,197,22
203,197,22
203,197,22
203,197,22
201,197,22
201,197,22
201,197,22
202,197,22
200,197,22
198,197,22
193,197,22
194,197,22
193,197,22
191,197,22
193,197,22
195,197,22
194,197,22
191,197,22
192,197,22
194,197,22
190,197,22
191,197,22
191,197,22
191,197,22
193,197,22
194,197,22
194,197,22
192,197,22
189,197,22
190,197,22
190,197,22
189,197,22
188,197,22
187,197,22
187,190,22
183,190,22
180,190,22
184,190,22
181,190,22
179,190,22
182,190,22
181,190,22
182,190,22
183,190,22
180,190,22
178,190,22
177,190,22
178,190,22
176,190,22
175,190,22
175,190,22
177,190,22
175,190,22
175,190,22
173,190,22
170,190,22
170,190,22
170,190,22
165,190,22
160,190,22
163,190,22
164,190,22
165,190,22
165,190,22
166,190,22
165,190,22
169,182,22
168,182,22
168,182,22
173,182,22
176,182,22
178,182,22
177,182,22
181,182,22
185,182,22
185,182,22
187,182,22
190,182,22
193,182,22
196,182,22
195,182,22
194,182,22
194,182,22
193,182,22
196,182,22
197,182,22
199,182,22
199,182,22
199,182,22
198,182,22
194,182,22
194,182,22
194,182,22
196,182,22
197,182,22
200,182,22
201,182,22
202,182,22
200,197,22
199,197,22
198,197,22
199,197,22
199,197,22
197,197,22
195,179,22
195,179,22
197,179,22
198,179,22
200,179,22
203,179,22
202,179,22
204,179,22
205,179,22
204,179,22
205,179,22
207,179,22
202,179,22
201,179,22
201,179,22
203,179,22
204,179,22
201,179,22
202,179,22
201,179,22
204,210,22
205,210,22
204,210,22
204,210,22
204,210,22
201,210,22
203,210,22
203,210,22
204,210,22
206,210,22
205,210,22
203,210,22
199,210,22
197,210,22
198,210,22
196,210,22
200,198,22
201,198,22
204,198,22
204,198,22
203,198,22
204,198,22
200,198,22
204,198,22
206,198,22
210,198,22
212,198,22
214,198,22
211,198,22
208,198,22
209,198,22
209,198,22
207,198,22
207,198,22
210,198,22
211,198,22
213,208,22
206,208,22
203,208,22
205,208,22
202,208,22
203,208,22
202,208,22
200,208,22
198,208,22
196,208,22
194,167,22
195,167,22
195,167,22
191,167,22
191,167,22
187,167,22
187,187,22
185,187,22
183,187,22
182,187,22
181,187,22
183,187,22
183,187,22
182,187,22
185,187,22
179,187,22
180,187,22
181,187,22
184,187,22
181,187,22
180,187,22
183,187,22
184,187,22
182,187,22
181,187,22
179,187,22
180,187,22
178,187,22
177,187,22
178,187,22
178,187,22
179,187,22
183,187,22
183,187,22
179,153,22
182,153,22
184,153,22
185,153,22
185,153,22
184,153,22
183,153,22
181,153,22
180,153,22
178,153,22
177,166,22
175,166,22
178,166,22
180,166,22
177,166,22
178,166,22
179,166,22
180,166,22
180,166,22
179,166,22
181,166,22
181,166,22
179,166,22
178,166,22
179,166,22
176,166,22
179,166,22
178,166,22
176,151,22
176,151,22
175,151,22
