true_pos,obs_pos,true_var
132,79,22
130,79,22
131,79,22
135,79,22
135,79,22
136,79,22
137,79,22
140,79,22
136,79,22
138,79,22
136,79,22
137,79,22
136,79,22
134,79,22
135,79,22
134,79,22
132,79,22
130,79,22
129,79,22
130,79,22
128,79,22
128,79,22
130,79,22
129,79,22
128,79,22
128,79,22
130,79,22
132,79,22
131,79,22
128,79,22
128,79,22
127,79,22
129,79,22
133,79,22
134,79,22
134,167,22
135,167,22
137,167,22
137,167,22
136,167,22
133,167,22
135,167,22
137,145,22
136,145,22
135,145,22
134,145,22
134,145,22
135,145,22
132,145,22
129,145,22
127,145,22
129,145,22
129,145,22
129,145,22
128,145,22
132,145,22
131,145,22
131,145,22
130,145,22
129,145,22
126,145,22
128,145,22
125,145,22
127,145,22
128,145,22
131,145,22
131,145,22
131,145,22
128,145,22
126,116,22
125,116,22
124,116,22
124,116,22
124,116,22
122,116,22
120,116,22
117,116,22
116,116,22
113,116,22
112,116,22
115,116,22
116,116,22
118,116,22
120,116,22
119,116,22
117,116,22
116,116,22
116,116,22
118,116,22
122,116,22
123,116,22
125,116,22
124,116,22
124,116,22
128,116,22
127,116,22
129,116,22
130,116,22
127,116,22
126,123,22
124,123,22
123,123,22
121,123,22
119,123,22
120,123,22
119,123,22
118,123,22
120,123,22
119,123,22
117,123,22
118,123,22
117,123,22
117,123,22
114,123,22
114,85,22
115,85,22
114,85,22
116,85,22
116,85,22
117,85,22
117,85,22
117,85,22
116,85,22
117,85,22
114,85,22
117,85,22
117,85,22
114,85,22
113,85,22
112,85,22
111,85,22
112,85,22
109,85,22
109,85,22
112,85,22
112,85,22
113,85,22
115,85,22
111,85,22
111,85,22
112,85,22
113,85,22
116,85,22
114,85,22
115,116,22
116,116,22
117,116,22
115,116,22
112,116,22
112,116,22
111,116,22
112,116,22
110,116,22
111,116,22
112,116,22
111,116,22
110,116,22
114,116,22
117,116,22
121,116,22
120,116,22
121,116,22
118,116,22
123,116,22
122,116,22
120,116,22
119,116,22
120,116,22
116,116,22
115,72,22
117,72,22
118,72,22
116,72,22
120,72,22
121,72,22
118,72,22
120,72,22
117,72,22
114,72,22
113,72,22
114,72,22
116,72,22
115,72,22
117,72,22
117,72,22
116,72,22
115,72,22
117,72,22
112,72,22
113,72,22
114,72,22
116,72,22
117,72,22
115,72,22
116,72,22
111,72,22
112,133,22
109,133,22
110,133,22
105,133,22
104,133,22
105,133,22
103,133,22
105,133,22
107,133,22
109,133,22
109,133,22
105,133,22
104,133,22
105,133,22
104,133,22
108,133,22
112,133,22
115,133,22
114,133,22
112,133,22
111,133,22
116,133,22
115,133,22
114,133,22
114,133,22
111,133,22
111,133,22
110,133,22
112,133,22
114,133,22
111,133,22
113,133,22
117,133,22
115,133,22
116,133,22
117,133,22
117,133,22
117,133,22
116,133,22
115,133,22
118,133,22
119,133,22
118,133,22
121,133,22
121,133,22
126,133,22
124,133,22
124,133,22
126,133,22
128,133,22
127,133,22
123,133,22
126,133,22
129,133,22
130,133,22
131,133,22
133,133,22
133,156,22
131,156,22
132,156,22
131,156,22
130,156,22
130,156,22
128,156,22
128,156,22
126,156,22
124,156,22
124,156,22
122,156,22
122,156,22
121,156,22
118,156,22
118,156,22
121,156,22
120,156,22
120,156,22
120,156,22
121,156,22
122,156,22
122,109,22
121,109,22
118,109,22
119,109,22
118,109,22
116,109,22
120,114,22
122,114,22
121,114,22
119,114,22
121,114,22
118,114,22
120,114,22
119,114,22
121,114,22
120,114,22
121,114,22
121,114,22
121,114,22
121,114,22
117,114,22
116,114,22
118,114,22
121,114,22
123,114,22
122,114,22
125,114,22
122,114,22
125,114,22
126,114,22
125,114,22
127,114,22
125,116,22
123,116,22
125,116,22
124,116,22
128,116,22
133,116,22
133,116,22
131,116,22
130,116,22
129,116,22
124,116,22
125,116,22
127,116,22
129,116,22
130,116,22
132,116,22
134,116,22
133,116,22
132,116,22
133,116,22
136,116,22
139,86,22
141,86,22
136,86,22
138,86,22
136,86,22
134,86,22
133,86,22
132,86,22
132,86,22
131,132,22
134,132,22
133,132,22
131,132,22
130,132,22
131,132,22
130,132,22
128,132,22
130,132,22
134,132,22
131,132,22
131,132,22
125,132,22
124,132,22
124,132,22
127,132,22
127,132,22
129,149,22
129,149,22
134,149,22
131,149,22
130,149,22
131,149,22
131,149,22
133,149,22
129,149,22
131,149,22
127,173,22
127,173,22
123,173,22
125,173,22
122,173,22
123,173,22
125,173,22
123,173,22
124,173,22
123,173,22
125,173,22
126,173,22
125,173,22
124,173,22
124,173,22
123,173,22
123,116,22
124,116,22
126,116,22
123,116,22
126,116,22
122,116,22
121,116,22
122,116,22
122,116,22
123,116,22
124,116,22
124,116,22
120,116,22
122,116,22
120,116,22
122,116,22
120,116,22
121,116,22
119,116,22
121,116,22
120,116,22
120,116,22
123,123,22
125,123,22
124,123,22
123,123,22
125,123,22
123,123,22
126,123,22
129,123,22
129,123,22
128,123,22
129,123,22
130,123,22
130,123,22
131,123,22
129,123,22
128,123,22
127,123,22
127,123,22
127,123,22
127,123,22
127,123,22
128,123,22
127,123,22
125,123,22
124,123,22
120,123,22
118,123,22
118,123,22
120,123,22
123,123,22
122,123,22
122,123,22
122,123,22
122,123,22
123,123,22
124,123,22
121,123,22
120,123,22
118,123,22
120,123,22
122,123,22
123,123,22
122,123,22
123,123,22
126,123,22
128,123,22
125,126,22
123,126,22
124,126,22
121,126,22
121,126,22
115,126,22
115,126,22
112,126,22
111,126,22
112,126,22
114,126,22
116,126,22
114,126,22
117,126,22
117,126,22
120,126,22
120,126,22
121,126,22
122,126,22
122,126,22
124,106,22
124,106,22
123,106,22
121,106,22
120,106,22
123,106,22
123,106,22
122,106,22
124,106,22
124,106,22
127,106,22
131,106,22
133,106,22
131,106,22
129,106,22
128,106,22
131,106,22
131,106,22
127,106,22
128,106,22
126,106,22
124,106,22
125,106,22
128,106,22
131,106,22
132,106,22
134,106,22
133,106,22
132,106,22
132,129,22
134,129,22
137,129,22
140,129,22
139,129,22
138,129,22
136,129,22
135,129,22
134,129,22
136,129,22
135,129,22
136,129,22
134,129,22
133,129,22
130,129,22
131,129,22
132,129,22
133,129,22
135,129,22
134,129,22
135,129,22
133,129,22
131,129,22
130,129,22
131,129,22
132,129,22
129,129,22
131,129,22
131,129,22
131,129,22
130,129,22
130,129,22
125,129,22
126,129,22
125,129,22
126,129,22
128,129,22
129,117,22
130,117,22
130,117,22
134,117,22
134,117,22
135,117,22
133,117,22
129,117,22
129,117,22
130,117,22
128,117,22
130,117,22
131,117,22
136,117,22
134,117,22
134,117,22
132,117,22
129,117,22
129,117,22
127,117,22
128,117,22
128,117,22
130,117,22
129,117,22
131,117,22
133,117,22
137,117,22
137,117,22
137,117,22
133,117,22
132,117,22
136,117,22
136,117,22
136,117,22
136,117,22
